::ffff:127.0.0.1 - - [18/Jul/2022:08:19:40 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [18/Jul/2022:09:22:27 +0000] "GET /upload/photo_626a74fcc36872e4d55eb274.jpeg HTTP/1.0" 404 181 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
::1 - - [18/Jul/2022:09:37:42 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [18/Jul/2022:09:39:08 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [18/Jul/2022:10:09:09 +0000] "GET /actuator/health HTTP/1.0" 404 154 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [18/Jul/2022:11:53:04 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::1 - - [18/Jul/2022:12:44:44 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:15 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:13:03:16 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:14:46:39 +0000] "GET /.env HTTP/1.0" 404 143 "-" "python-requests/2.27.1"
::ffff:127.0.0.1 - - [18/Jul/2022:14:46:41 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::1 - - [18/Jul/2022:14:46:42 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Jul/2022:14:46:44 +0000] "GET /core/.env HTTP/1.0" 404 148 "-" "python-requests/2.27.1"
::1 - - [18/Jul/2022:14:46:45 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::ffff:127.0.0.1 - - [18/Jul/2022:14:46:47 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::1 - - [18/Jul/2022:15:28:56 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.0 Safari/537.36 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)"
::ffff:127.0.0.1 - - [18/Jul/2022:15:28:56 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://icareer.mn/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.0 Safari/537.36 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:06 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:06 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:06 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:06 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:06 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:06 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:07 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:16:43:08 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [18/Jul/2022:16:43:08 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [18/Jul/2022:17:49:14 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [18/Jul/2022:18:34:49 +0000] "GET /api/v1/articles/62a2136d182f7ca23c90c6e1 HTTP/1.0" 200 8955 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
::ffff:127.0.0.1 - - [18/Jul/2022:18:34:49 +0000] "GET /api/v1/articles/62a2136d182f7ca23c90c6e1 HTTP/1.0" 200 8955 "https://www.icareer.mn/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
::1 - - [18/Jul/2022:18:34:50 +0000] "GET /api/v1/articles/62a2136d182f7ca23c90c6e1 HTTP/1.0" 200 8955 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
::ffff:127.0.0.1 - - [18/Jul/2022:18:34:50 +0000] "GET /api/v1/articles/62a2136d182f7ca23c90c6e1 HTTP/1.0" 200 8955 "https://www.icareer.mn/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
::1 - - [18/Jul/2022:18:49:01 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [18/Jul/2022:19:12:56 +0000] "GET /wp-login.php HTTP/1.0" 404 151 "http://novelistgroup.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96"
::ffff:127.0.0.1 - - [18/Jul/2022:20:10:22 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.0" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [18/Jul/2022:20:45:02 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [18/Jul/2022:20:47:40 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [18/Jul/2022:20:48:06 +0000] "GET /owa/auth/x.js HTTP/1.0" 404 152 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [18/Jul/2022:22:41:53 +0000] "POST /mifs/.;/services/LogService HTTP/1.0" 404 167 "https://174.138.19.161:443" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
