::1 - - [17/Jun/2022:04:08:03 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/coins HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:23 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/deegiis HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:11:24 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [17/Jun/2022:04:43:09 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:43:10 +0000] "GET /api/v1/technos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:43:10 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [17/Jun/2022:04:43:10 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [17/Jun/2022:04:43:10 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [17/Jun/2022:04:43:10 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
