::ffff:127.0.0.1 - - [18/Sep/2022:09:13:41 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [18/Sep/2022:09:15:37 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [18/Sep/2022:09:18:00 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [18/Sep/2022:09:19:13 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [18/Sep/2022:09:23:02 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
::ffff:127.0.0.1 - - [18/Sep/2022:09:23:03 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
::1 - - [18/Sep/2022:09:23:35 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [18/Sep/2022:11:11:19 +0000] "GET ///remote/fgt_lang?lang=/../../../..//////////dev/ HTTP/1.0" 404 156 "-" "python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-1160.el7.x86_64"
::ffff:127.0.0.1 - - [18/Sep/2022:11:22:58 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "Python-urllib/3.8"
::ffff:127.0.0.1 - - [18/Sep/2022:14:16:43 +0000] "GET /api/v1/webworks?limit=10 HTTP/1.0" 200 792 "http://www.ihelp.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19G82 [FBAN/FBIOS;FBDV/iPhone11,2;FBMD/iPhone;FBSN/iOS;FBSV/15.6.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5]"
